web_scraper_order,web_scraper_start_url,container_moutons,Nom,Prix,Adresse,Image_lien,price_cfa,city,title_len
1771110188-15,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4143070,Mouton ladoum,500 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5144166_uploaded_image1_1737393386.jpg,500000.0,Parcelle Assainies,13
1771110192-16,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-azawatt-4150287,Mouton Ladoum Azawatt,400 000 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4150287_uploaded_image1_1679880266.jpg,400000.0,Grand Dakar,21
1771110196-17,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4150306,Mouton ladoum,500 000 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4150306_uploaded_image1_1679880896.jpg,500000.0,Grand Dakar,13
1771110202-18,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4152006,Mouton ladoum,600 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_4198188_uploaded_image1_1683021884.jpg,600000.0,Louga,13
1771110241-19,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4169738,Mouton,Prix sur demande,"Thies, Sénégal",,,Thies,6
1771110244-20,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/brebis-4175237,Brebis,75 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4175237_uploaded_image1_1681390037.jpg,75000.0,Mermoz,6
1771110248-21,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4177437,Moutons,Prix sur demande,"Patte d'oie, Dakar, Sénégal",,,Patte d'oie,7
1771110252-22,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4192844,Moutons,125 000 CFA,"Pikine, Sénégal",,125000.0,Pikine,7
1771110255-23,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4195346,Mouton ladoum,850 000 CFA,"Almadies 2, Dakar, Sénégal",,850000.0,Almadies 2,13
1771110260-24,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4196101,Mouton,75 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4252367_uploaded_image1_1686511140.jpg,75000.0,Mermoz,6
1771110265-25,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4198188,Mouton,800 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg,800000.0,Louga,6
1771110273-26,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4198569,Moutons,240 000 CFA,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5164450_uploaded_image1_1738427830.jpg,240000.0,Biscuiterie,7
1771110277-27,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4198927,Mouton,150 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,150000.0,Dakar,6
1771110280-28,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4200797,Mouton,125 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,125000.0,Dakar,6
1771110284-29,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4202091,Moutons,Prix sur demande,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4202091_uploaded_image1_1683204935.jpg,,Patte d'oie,7
1771110288-30,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4204058,Moutons,180 000 CFA,"Matam, Sénégal",https://images.coinafrique.com/thumb_4204058_uploaded_image1_1683299567.jpg,180000.0,Matam,7
1771110291-31,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4206601,Mouton,135 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5561288_uploaded_image1_1759765735.jpg,135000.0,Pikine,6
1771110296-32,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4211097,Mouton,270 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349203_uploaded_image1_1748427888.jpg,270000.0,Grand Yoff,6
1771110299-33,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/brebis-4213425,Brebis,500 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4430520_uploaded_image1_1698276223.jpg,500000.0,Dakar,6
